seconds_since_start,reading_1_us,reading_2_us,reading_3_us,reading_4_us,reading_5_us,reading_6_us,reading_7_us,reading_8_us,reading_9_us,reading_10_us,reading_11_us,reading_12_us,reading_13_us,reading_14_us,reading_15_us,reading_16_us,reading_17_us,reading_18_us,reading_19_us,reading_20_us
68356,55,62,61,61,40,60,61,62,40,64,60,61,39,60,61,62,40,62,61,60
68661,90,61,62,69,68,60,60,62,67,70,61,61,58,68,68,61,62,59,66,68
68966,86,40,61,60,61,38,62,61,62,41,62,59,61,40,63,60,60,40,63,61
69271,84,62,60,68,70,62,63,59,69,69,61,59,59,70,71,59,61,60,68,69
69576,54,63,61,60,39,61,60,62,40,61,61,62,39,58,61,60,39,61,61,61
69881,92,73,62,62,60,71,69,61,61,61,71,70,58,61,60,68,69,60,62,60
70186,56,63,62,60,40,61,60,60,38,60,64,62,40,60,60,60,40,61,60,60
70492,83,63,62,68,68,61,60,60,68,69,60,62,61,70,67,59,61,60,67,69
70797,86,63,61,39,59,60,62,41,60,59,61,40,61,59,61,38,61,59,62,41
71102,93,62,61,60,67,69,59,60,60,70,68,60,61,64,71,70,61,60,61,72
71407,54,63,64,61,40,61,62,59,39,60,61,60,40,60,60,61,39,60,62,61
71712,85,71,68,60,59,61,73,71,61,60,61,68,71,59,61,61,70,70,61,60
72017,96,61,60,59,39,60,60,60,38,60,61,60,39,62,62,60,40,59,61,60
72322,85,62,69,66,61,60,62,70,69,59,60,60,70,69,59,62,60,68,68,61
72628,49,69,61,60,61,39,60,60,61,41,62,60,60,39,61,61,60,40,61,60
72933,86,60,68,68,62,60,61,68,70,60,60,60,67,70,59,60,62,68,67,62
73238,86,64,63,40,60,62,59,41,60,61,61,39,61,59,59,40,60,60,61,41
73543,83,62,64,67,73,59,61,61,70,69,62,59,60,67,70,62,61,62,68,70
73848,92,63,61,60,40,59,60,61,38,61,61,60,38,61,61,61,38,60,62,62
74153,85,62,61,71,68,60,61,60,67,69,61,62,61,67,69,61,61,61,68,68
74459,93,61,61,61,42,61,59,60,41,60,60,62,40,60,60,60,39,61,61,60
74764,96,62,61,61,66,68,59,61,60,67,68,61,59,61,71,67,62,59,60,67
75069,84,40,61,62,60,40,62,59,63,38,60,61,59,42,61,60,60,37,60,61
75374,94,69,61,62,60,67,69,61,60,60,71,73,61,62,61,66,67,61,62,58
75679,59,63,60,60,37,61,60,62,39,61,60,60,38,60,60,60,40,60,62,61
